Quest | Objective(s) | Filter Quest | Filter Given By
26 | Market Correction | Locate the cache near Marano Station | Tian Wen
27 | Keeping the Memory | - In one round, complete the following; - Reach the wreckage in the Formicai Hills - Search for the missing helmet - Return the helmet to the memorial | Celeste
28 | Reduced to Rubble | - Take a photo of the Collapsed Highway - Go to the Broken Earth - Follow the trail of destruction through the Broken Earth - Investigate the unknown ARC machines | Shani
29 | With a Trace | - Reach the Barren Clearing - Find signs of who brought down the ARC machines - Inspect the Adorned Wreckage - Inspect the communications device | Shani
30 | Eyes on the Prize | - Find the secluded roof terrace south-west of the Southern Station, look for blue tarps - Rewire the solar panel using 3 Wires | Tian Wen
31 | Echoes of Victory Ridge | - Reach Victory Ridge - Retrieve the battle plans from the hideout under the broken highway - Deliver Major Aiva's Patch to Celeste | Celeste
32 | Industrial Espionage | - Find Tian Wen's weapon cache near the Gas Station in the Outskirts - Deliver the Burletta to the rival weapon cache | Tian Wen
33 | Unexpected Initiative | - Reach the Grandioso Apartments in Buried City - Search for Fertilizer on the rooftop of the Grandioso Apartments - Reach Piazza Roma in Buried City - Search for a Water Pump in the broken rooftop gardens at Piazza Roma - Deliver a Water Pump to Tian Wen Deliver Fertilizer to Tian Wen | Tian Wen
34 | A Symbol of Unification | - Reach the Formicai Outpost in Dam Battlegrounds - Locate the flag at the Formicai Outpost - Hoist the flag on the small platform overlooking the red lake | Celeste
35 | Celeste's Journals | - Retrieve Celeste's Journals from the South Swamp Outpost - Retrieve Celeste's Journals from the northern outpost overlooking the Red Lakes - Deliver 2 Journals to Celeste | Celeste
36 | Back on Top | - On Dam Battlegrounds, mark the Pattern House - On The Blue Gate, mark the white lookout tower south of the Warehouse Complex - On Spaceport, mark the South Trench Tower - On Buried City, mark the building with the mural in the Buried Properties | Tian Wen
37 | The Major's Footlocker | - Search for Major Aiva's mementos in the apartments northwest of The Dam - Deliver Major Aiva's Mementos to Tian Wen | Tian Wen
38 | Out of the Shadows | - Destroy a Rocketeer - Obtain a Rocketeer Driver | Shani
39 | Eyes in the Sky | - On Dam Battlegrounds, install a LiDAR Scanner at the top of the Control Tower - On Spaceport, install a LiDAR Scanner at the Communications Tower - On Buried City, install a LiDAR Scanner on top of the Galleria sign | Shani
40 | Our Presence Up There | - Visit the Pattern House in The Dam Find and interact with the Power Switch - Complete the antenna installation on the roof | Shani
41 | Communication Hideout | - Reach the Red Tower in Old Town Find missing battery cell - Install the battery cell in the Generator - Enable the power on the Generator - Boot the antenna terminal near the Red Tower | Shani
42 | After Rain Comes | - Find the flooded solar panels nearby the Grandioso Apartments - Repair the solar panels using 5 Wires and 2 Batteries | Celeste
43 | A Balanced Harvest | - Go to the Research and Administration building - Locate Lab 1 on the upper floor above the reception | Celeste
44 | Untended Garden | In one round, complete the following: - Go to the Hydroponic Dome Complex - Access the data archive in one of the domes - Upload the data to the computer terminal in any Field Depot | Celeste
45 | The Root of the Matter | - In one round, complete the following: - Go to the Research Building in Buried City - Search for the seed vault in the "room with a great view" | Celeste
46 | Water Troubles | In one round, complete the following: - Locate the Flood Access Tunnel under the Red Lake Berm - Find the intake to the District's Water Supply - Sample the water | Celeste
